yil;Il;toplam;"Hastalık
Illness";"Aile
geçimsizliği
Family
incompatibility";"Geçim
zorluğu
Economic
problems";"Ticari
başarısızlık
Business
failure";"Hissi0ilişki0ve
istediği0ile0evlenememe
Emotional0relationship
and0not0marrying
the0person0wanted";"Öğrenim
başarısızlığı
Educational
failure";"Diğer
Other";"Bilinmeyen
Unknown";;;;;;;;;
2021;Kars;23;0;1;1;0;1;1;7;12;;;;;;;;;
2021;Kastamonu;22;8;1;0;0;0;0;7;6;;;;;;;;;
2021;Kayseri;95;26;4;7;0;2;0;28;28;;;;;;;;;
2021;Kırklareli;20;6;1;2;0;1;0;9;1;;;;;;;;;
2021;Kırşehir;11;5;1;1;0;0;0;3;1;;;;;;;;;
2021;Kocaeli;103;27;4;9;0;5;0;41;17;;;;;;;;;
2021;Konya;112;29;3;13;1;2;0;44;20;;;;;;;;;
2021;Kütahya;31;10;2;0;0;2;0;7;10;;;;;;;;;
2021;Malatya;30;11;2;2;0;0;0;14;1;;;;;;;;;
2021;Manisa;70;21;3;3;0;1;0;15;27;;;;;;;;;
2021;Kahramanmaraş;54;8;4;3;0;1;0;18;20;;;;;;;;;
2021;Mardin;42;6;3;1;0;0;0;18;14;;;;;;;;;
2021;Muğla;64;5;3;2;0;2;0;21;31;;;;;;;;;
2021;Muş;18;3;1;0;0;0;0;9;5;;;;;;;;;
2021;Nevşehir;14;2;5;1;0;0;1;1;4;;;;;;;;;
2021;Niğde;14;7;0;1;0;1;0;4;1;;;;;;;;;
2021;Ordu;54;4;3;3;0;0;0;13;31;;;;;;;;;
2021;Rize;15;7;1;0;0;1;0;3;3;;;;;;;;;
2021;Sakarya;39;11;2;4;0;2;0;12;8;;;;;;;;;
2021;Samsun;74;25;1;8;0;2;0;19;19;;;;;;;;;
2021;Siirt;21;5;1;1;0;1;1;4;8;;;;;;;;;
2021;Sinop;9;4;0;0;0;0;0;3;2;;;;;;;;;
2021;Sivas;34;12;2;2;0;1;0;11;6;;;;;;;;;
2021;Tekirdağ;57;17;3;5;0;0;0;15;17;;;;;;;;;
2021;Tokat;24;4;0;2;0;1;0;11;6;;;;;;;;;
2021;Trabzon;17;5;2;1;0;0;0;5;4;;;;;;;;;
2021;Tunceli;10;1;0;0;0;0;0;4;5;;;;;;;;;
2021;Şanlıurfa;82;25;3;6;0;2;0;35;11;;;;;;;;;
2021;Uşak;24;11;1;2;0;1;0;6;3;;;;;;;;;
2021;Van;49;9;5;5;0;1;0;13;16;;;;;;;;;
2021;Yozgat;16;2;2;0;0;0;0;5;7;;;;;;;;;
2021;Zonguldak;37;12;0;2;0;0;1;14;8;;;;;;;;;
2021;Aksaray;28;4;3;1;0;1;0;12;7;;;;;;;;;
2021;Bayburt;3;0;0;0;0;0;0;3;0;;;;;;;;;
2021;Karaman;10;5;0;0;0;0;0;2;3;;;;;;;;;
2021;Kırıkkale;18;1;0;4;0;1;0;9;3;;;;;;;;;
2021;Batman;28;5;0;2;0;2;0;12;7;;;;;;;;;
2021;Şırnak;32;1;0;0;0;0;0;11;20;;;;;;;;;
2021;Bartın0;13;3;0;1;0;1;0;3;5;;;;;;;;;
2021;Ardahan;3;0;0;0;0;0;0;3;0;;;;;;;;;
2021;Iğdır;9;0;1;2;0;0;0;5;1;;;;;;;;;
2021;Yalova;16;8;0;0;0;0;0;2;6;;;;;;;;;
2021;Karabük;15;10;0;1;0;0;0;3;1;;;;;;;;;
2021;Kilis0;14;5;0;1;0;1;0;4;3;;;;;;;;;
2021;Osmaniye;20;4;3;2;0;0;0;6;5;;;;;;;;;
2021;Düzce;11;1;0;2;0;0;0;7;1;;;;;;;;;
2020;Türkiye;3710;973;136;289;7;94;7;1425;779;;;;;;;;;
2020;Adana;124;41;6;12;0;4;0;36;25;;;;;;;;;
2020;Adıyaman;23;1;1;1;0;0;0;14;6;;;;;;;;;
2020;Afyonkarahisar;38;6;2;3;1;2;0;13;11;;;;;;;;;
2020;Ağrı;28;2;2;4;0;0;0;10;10;;;;;;;;;
2020;Amasya;20;4;1;3;0;1;0;11;0;;;;;;;;;
2020;Ankara;263;102;9;28;0;12;1;97;14;;;;;;;;;
2020;Antalya;120;44;4;5;0;1;2;42;22;;;;;;;;;
2020;Artvin;6;3;0;1;0;0;0;2;0;;;;;;;;;
2020;Aydın;66;19;3;4;0;1;0;25;14;;;;;;;;;
2020;Balıkesir;80;21;1;9;0;1;1;32;15;;;;;;;;;
2020;Bilecik;8;2;0;1;0;0;0;4;1;;;;;;;;;
2020;Bingöl;14;4;2;0;0;0;0;6;2;;;;;;;;;
2020;Bitlis;12;3;0;0;0;0;0;6;3;;;;;;;;;
2020;Bolu;16;2;1;2;0;2;0;7;2;;;;;;;;;
2020;Burdur;13;2;0;0;0;0;0;5;6;;;;;;;;;
2020;Bursa;134;37;6;15;0;0;0;49;27;;;;;;;;;
2020;Çanakkale;26;5;1;1;0;0;0;12;7;;;;;;;;;
2020;Çankırı;12;1;0;1;0;0;0;8;2;;;;;;;;;
2020;Çorum;19;5;2;0;0;0;0;9;3;;;;;;;;;
2020;Denizli;66;28;5;2;0;1;0;20;10;;;;;;;;;
2020;Diyarbakır;101;26;2;5;0;1;0;50;17;;;;;;;;;
2020;Edirne;27;3;0;5;0;1;0;6;12;;;;;;;;;
2020;Elazığ;26;6;2;2;0;0;0;12;4;;;;;;;;;
2020;Erzincan;10;5;2;1;0;0;0;1;1;;;;;;;;;
2020;Erzurum;26;5;0;0;0;1;0;10;10;;;;;;;;;
2020;Eskişehir;59;17;2;9;0;2;0;24;5;;;;;;;;;
2020;Gaziantep;78;22;4;10;0;4;0;30;8;;;;;;;;;
2020;Giresun;18;8;1;1;0;0;0;3;5;;;;;;;;;
2020;Gümüşhane;2;1;0;0;0;0;0;1;0;;;;;;;;;
2020;Hakkari;21;3;1;1;0;0;0;14;2;;;;;;;;;
2020;Hatay;38;12;2;2;0;0;0;12;10;;;;;;;;;
2020;Isparta;28;5;2;1;0;2;0;6;12;;;;;;;;;
2020;Mersin;121;27;4;9;0;3;1;50;27;;;;;;;;;
2020;İstanbul;520;151;16;50;1;11;0;210;81;;;;;;;;;
2020;İzmir;215;64;8;18;0;7;0;71;47;;;;;;;;;
