"Yil
Year";"Il
Province";"Toplam
Total";Yas grubu Age group;;;;;;;;;;;;;;;
2022;Mardin;  32;  1;  6;  9;  5;  4;0;0;0;  1;  3;  1;0;0;  2;;
2022;Mugla;  86;  1;  5;  11;  14;  10;  10;  5;  5;  3;  7;  5;  5;  3;  2;;
2022;Muş;  19;  1;  5;  3;  1;  3;  2;  2;  1;  1;0;0;0;0;0;;
2022;Nevşehir;  14;  1;  3;  1;  1;  1;  3;0;  1;0;0;  1;  1;  1;0;;
2022;Nigde;  18;0;  1;  4;  2;  2;  2;0;  1;  3;  2;0;0;0;  1;;
2022;Ordu;  51;0;  2;  6;  9;  5;  7;  3;  4;  2;  3;  5;  4;0;  1;;
2022;Rize;  16;0;  2;  2;  4;  1;  1;  2;  1;  1;0;  2;0;0;0;;
2022;Sakarya;  37;  1;  3;  1;  4;  5;  5;  4;  4;  2;0;  1;  4;  1;  2;;
2022;Samsun;  83;  1;  6;  10;  13;  15;  6;  6;  4;  7;  5;  4;  2;  3;  1;;
2022;Siirt;  23;  2;  4;  9;  2;  1;  2;  1;0;0;0;0;  1;0;  1;;
2022;Sinop;  12;0;  2;0;  1;  2;  1;  2;0;0;  1;  1;  1;0;  1;;
2022;Sivas;  33;  1;  3;  4;  4;0;  4;  5;  3;  2;0;  2;  1;  1;  3;;
2022;Tekirdag;  70;  2;  4;  4;  10;  8;  7;  14;0;  1;  2;  4;  2;  5;  7;;
2022;Tokat;  31;  3;  5;  3;  5;  3;  4;  2;  1;0;  1;0;  1;  2;  1;;
2022;Trabzon;  30;  1;  6;  2;  1;0;  4;  2;  4;  2;0;  3;  3;  2;0;;
2022;Tunceli;  12;0;  1;  1;  2;  1;  2;0;  1;  1;0;  2;  1;0;0;;
2022;Şanliurfa;  67;  4;  15;  13;  16;  6;  1;  2;  2;  3;  3;  2;0;0;0;;
2022;Uşak;  38;0;  2;  6;  7;  7;  1;  4;  3;  2;  1;  1;  1;  1;  2;;
2022;Van;  53;  4;  12;  7;  11;  4;  4;  2;  1;  4;  1;  1;  2;0;0;;
2022;Yozgat;  21;0;  1;  5;  5;  3;0;  1;  1;  1;0;  1;0;  3;0;;
2022;Zonguldak;  41;0;  3;  4;  5;  5;  4;  4;0;  2;  2;  5;  4;  3;0;;
2022;Aksaray;  17;  1;  3;  3;  5;  1;  1;0;  1;  1;0;0;0;  1;0;;
2022;Bayburt;  2;0;0;  2;0;0;0;0;0;0;0;0;0;0;0;;
2022;Karaman;  22;0;  2;  2;  5;  4;  5;0;  1;  1;  1;  1;0;0;0;;
2022;Kirikkale;  18;0;  3;  1;  3;  2;  1;  3;  1;  1;  1;  1;0;0;  1;;
2022;Batman;  33;  2;  3;  9;  6;  5;  1;  3;0;  1;  2;0;  1;0;0;;
2022;Şirnak;  30;  2;  6;  11;  5;  2;  2;0;0;0;  1;  1;0;0;0;;
2022;Bartin ;  15;0;  2;  2;  1;0;  1;  2;  2;  2;  1;0;0;  1;  1;;
2022;Ardahan;  6;0;  2;  1;0;0;  1;0;  2;0;0;0;0;0;0;;
2022;igdir;  19;0;  5;  3;  3;  2;  1;  1;0;  1;  1;  1;  1;0;0;;
2022;Yalova;  12;0;  1;  1;  4;  2;0;  1;0;0;0;  1;  2;0;0;;
2022;Karabuk;  20;0;  2;  2;  2;  3;  2;  3;  1;  2;  2;0;0;  1;0;;
2022;Kilis ;  9;  1;  2;  3;  2;0;  1;0;0;0;0;0;0;0;0;;
2022;Osmaniye;  29;0;  3;  4;  4;  2;  7;0;  1;  2;  2;  1;0;  1;  2;;
2022;Duzce;  15;0;  1;  1;  2;  3;  1;  1;  1;0;  1;  3;  1;0;0;;
2021;Turkiye; 4 194;  71;  377;  512;  528;  451;  385;  394;  300;  241;  249;  203;  184;  103;  196;;
2021;Adana;  128;  1;  7;  15;  23;  15;  17;  13;  10;  7;  5;  3;  5;  3;  4;;
2021;Adiyaman;  23;0;  1;  4;  2;  3;  1;  6;  1;  2;0;0;  1;  1;  1;;
2021;Afyonkarahisar;  37;0;  5;  3;  5;  3;0;  3;  5;  3;  5;  1;  1;0;  3;;
2021;Agri;  25;  2;  6;  4;  4;0;  2;0;0;  2;  2;  2;0;0;  1;;
2021;Amasya;  14;  1;0;  2;  1;0;  2;  1;0;  1;0;  3;  1;  1;  1;;
2021;Ankara;  268;  4;  18;  31;  41;  29;  29;  14;  28;  16;  18;  12;  13;  8;  7;;
2021;Antalya;  150;  1;  10;  16;  18;  28;  17;  16;  14;  8;  4;  2;  3;  2;  11;;
2021;Artvin;  7;0;0;  1;0;  2;0;  1;0;0;0;  2;0;0;  1;;
2021;Aydin;  81;  3;  5;  6;  3;  3;  5;  8;  4;  8;  5;  10;  7;  2;  12;;
